locus_tag	gene_name	start_site	end_site	gene_length
NGK_RS03880		701410	702549	1140
NGK_RS15345		702692	702910	219
NGK_RS03890	ykgO	702996	703121	126
NGK_RS03895		703121	703396	276
NGK_RS03900	metF	703593	704471	879
NGK_RS03905	metE	704607	706883	2277
NGK_RS03915		707162	707899	738
NGK_RS03920		708148	709551	1404
NGK_RS03930	sdhC	709838	710215	378
NGK_RS03935	sdhD	710209	710550	342
NGK_RS03940	sdhA	710553	712316	1764
NGK_RS03945		712436	713143	708
NGK_RS03950		713147	713395	249
NGK_RS03955	gltA	713507	714790	1284
NGK_RS03960		714995	717823	2829
NGK_RS03965	odhB	717923	719104	1182
NGK_RS03970	lpdA	719365	720798	1434
NGK_RS03975		720918	721205	288
NGK_RS03980	sucC	721277	722443	1167
NGK_RS03985	sucD	722454	723344	891
NGK_RS03990		723718	724113	396
NGK_RS03995		724352	724753	402
NGK_RS04000		724758	725336	579
NGK_RS16540		725396	725578	183
NGK_RS04005	fitA	725784	726020	237
NGK_RS04010	fitB	726020	726439	420
NGK_RS04015		726588	728042	1455
NGK_RS04020		728039	728740	702
NGK_RS04025		728737	729516	780
NGK_RS04030		729664	731205	1542
NGK_RS04035		731317	732843	1527
NGK_RS04040		732900	733433	534
NGK_RS04045	aroA	733511	734812	1302
NGK_RS16190		734811	734939	129
NGK_RS04050	greA	735203	735679	477
NGK_RS04055		736004	737148	1145
NGK_RS16195		737407	737538	132
NGK_RS04070		737711	737893	183
NGK_RS04075		737954	738955	1002
NGK_RS04080		739032	742865	3834
NGK_RS12900	ffs	743126	743222	97
NGK_RS04090		743445	743864	420
NGK_RS04095	dld	743961	745652	1692
NGK_RS04105		745837	746208	372
NGK_RS04110		746348	746896	549
NGK_RS04115		747034	748116	1083
NGK_RS04120		748249	748419	171
NGK_RS15825		748446	748979	534
NGK_RS04130		749109	749510	402
NGK_RS04135		749515	750093	579
NGK_RS16545		750153	750335	183
NGK_RS12915	ssrA	750653	751015	363
NGK_RS04140		751078	751683	606
NGK_RS04155		752263	753311	1049
NGK_RS04160		753417	753899	483
NGK_RS04165		753946	755082	1137
NGK_RS04170		755099	755959	861
NGK_RS04175		755960	756898	939
NGK_RS04180	trpE	756982	758457	1476
NGK_RS04185		758569	758935	367
NGK_RS04190		758957	760867	1911
NGK_RS04195		760886	761530	645
NGK_RS04200		761681	762472	792
NGK_RS04205		763412	763801	390
NGK_RS04210	glyA	763874	765124	1251
NGK_RS04215		765191	765433	243
NGK_RS15350		765378	765542	165
NGK_RS04220	ggt	765606	767374	1769
NGK_RS12925		767542	767805	264
NGK_RS04225		767999	768217	219
NGK_RS04230		768376	769350	975
NGK_RS04235		769593	769841	249
NGK_RS04240		769891	770223	333
NGK_RS04245		770332	771177	846
NGK_RS04250	plsY	771269	771871	603
NGK_RS04255	folB	771927	772283	357
NGK_RS04260		772317	772853	537
NGK_RS14970		773247	773380	134
NGK_RS04270		773458	773817	360
NGK_RS04275		773846	774526	681
NGK_RS04280		774732	777776	3045
NGK_RS04290		777952	779214	1263
NGK_RS04295	proB	779227	780332	1106
NGK_RS04300		780578	782371	1794
NGK_RS14975		782430	782536	107
NGK_RS04305		782570	783232	663
NGK_RS04310	lgt	783317	784168	852
NGK_RS04315		784242	785372	1131
NGK_RS04320	argB	785542	786438	897
NGK_RS04335		787029	787697	669
NGK_RS04340	hda	787694	788362	669
NGK_RS04345		788466	790232	1767
NGK_RS04360		790625	791272	648
NGK_RS16200		791269	791433	165
NGK_RS16205		791435	791638	204
NGK_RS04370		791645	792316	672
NGK_RS04375		792482	793201	720
NGK_RS04380	hpnE	793283	794596	1314
NGK_RS04385	hpnD	794671	795543	873
NGK_RS04390	hscA	795714	797576	1863
NGK_RS04400		797804	798410	607
NGK_RS04405		798446	799198	753
NGK_RS04410	fdx	799254	799595	342
NGK_RS15355		799655	800195	541
NGK_RS04425	iscX	800408	800605	198
NGK_RS04430		800673	801074	402
NGK_RS04435		801286	802239	954
NGK_RS04440	tilS	802313	803623	1311
NGK_RS04445		803697	804482	786
NGK_RS04450		804492	804689	198
NGK_RS04455		804951	805304	354
NGK_RS04460		805316	805621	306
NGK_RS04465	mpl	805683	807059	1377
NGK_RS04475	bioB	807266	808318	1053
NGK_RS04480		808414	809187	774
NGK_RS04485		809225	809527	303
NGK_RS04490	ilvD	809569	811428	1860
NGK_RS04495	cysI	811601	813366	1766
NGK_RS15830		813393	815186	1794
NGK_RS04505		815183	816265	1083
NGK_RS04515		816694	817350	657
NGK_RS04520		817415	818305	891
NGK_RS04525	typA	818422	820233	1812
NGK_RS04535		820630	820720	91
NGK_RS04540		820759	820845	87
NGK_RS04545	rnr	820934	823309	2376
NGK_RS04555	guaB	823646	825109	1464
NGK_RS04560	glnD	825256	827814	2559
NGK_RS04565		827863	828183	321
NGK_RS04570	bfr	828505	828978	474
NGK_RS04575	bfr	829006	829470	465
NGK_RS04580	lipA	829945	830928	984
NGK_RS04585	lipB	830921	831544	624
NGK_RS04590		831546	831821	276
NGK_RS04600		832006	833076	1071
NGK_RS04605		833183	834130	948
NGK_RS04610		834145	834552	408
NGK_RS04615	ung	834633	835292	660
NGK_RS04620		835329	835664	336
NGK_RS12955		835664	835846	183
NGK_RS04625		836087	836974	888
NGK_RS04630		836971	838461	1491
NGK_RS04635		838451	839056	606
NGK_RS04640		839059	839808	750
NGK_RS15370		839808	841325	1518
NGK_RS04650		841517	842566	1050
NGK_RS04655		842653	843207	555
NGK_RS12960		843587	844018	432
NGK_RS04665		844210	846249	2040
NGK_RS04670		846264	846803	540
NGK_RS04675		846925	847479	555
NGK_RS04680		847743	848192	450
NGK_RS04690		849377	849892	516
NGK_RS04695		849902	850483	582
NGK_RS04700		850709	851116	408
NGK_RS04705		851355	851633	279
NGK_RS04710		851635	852126	492
NGK_RS04715		852222	854705	2484
NGK_RS04720		854953	855210	258
NGK_RS04730		855763	855987	225
NGK_RS04735		856058	857179	1122
NGK_RS04740		857256	857597	342
NGK_RS04745		857833	858414	582
NGK_RS04750		858449	859021	573
NGK_RS04760		859592	860371	780
NGK_RS04765		860460	860924	465
NGK_RS04770		861328	861639	312
NGK_RS04775		861641	862090	450
NGK_RS04780		862205	863275	1071
NGK_RS04785		863328	863942	615
NGK_RS04790	exp2	864009	864359	351
NGK_RS04795		864563	865150	588
NGK_RS12975		865197	865520	324
NGK_RS15375		865577	865735	159
NGK_RS04800		865739	866320	582
NGK_RS04805		866326	869328	3003
NGK_RS04810		869335	870846	1512
NGK_RS04815		871018	871794	777
NGK_RS04820		871806	872231	426
NGK_RS04825	traN	872218	873759	1542
NGK_RS04830		873798	875042	1245
NGK_RS15835	trbC	875039	875521	483
NGK_RS15840		875606	875779	174
NGK_RS04840		875806	876924	1119
NGK_RS04845		876921	877577	657
NGK_RS04850		877586	878131	546
NGK_RS04855		878131	878679	549
NGK_RS04860	traC	878707	881283	2577
NGK_RS04865		881293	881874	582
NGK_RS04870		881871	882590	720
NGK_RS04875		882600	883913	1314
NGK_RS04880		883915	884649	735
NGK_RS04885		884651	885316	666
NGK_RS04890	traL	885313	885594	282
NGK_RS04895	traA	885616	885912	297
NGK_RS04900		885968	886489	522
NGK_RS12980		886459	886920	462
NGK_RS04905		887431	887850	420
NGK_RS04910	mobH	887847	890399	2553
NGK_RS04915	traD	890396	892438	2043
NGK_RS04920		892428	893123	696
NGK_RS04930		893568	894080	513
NGK_RS04935		894171	894566	396
NGK_RS04940		894553	896475	1923
NGK_RS04945		896552	896923	372
NGK_RS04950		897119	898426	1308
NGK_RS04955		898419	898853	435
NGK_RS04960		899029	899298	270
NGK_RS04965	lon	899480	901942	2463
NGK_RS15005		902194	902653	460
NGK_RS04975		902782	903744	963
NGK_RS04980		903752	904398	647
NGK_RS04985	recD	904470	906215	1746
NGK_RS04990	lolD	906282	906977	696
NGK_RS04995		906970	908217	1248
NGK_RS14365		908443	908721	279
NGK_RS05005	recR	908777	909394	618
NGK_RS05010		909461	910999	1539
NGK_RS05015		911048	911422	375
NGK_RS05020		911572	913200	1629
NGK_RS05025		913279	914511	1233
NGK_RS05035		914930	915238	309
NGK_RS05040	ruvB	915320	916351	1032
NGK_RS05045	rpe	916596	917279	684
NGK_RS05050		917425	917859	435
NGK_RS05055		917872	918735	864
NGK_RS15380		918743	919360	618
NGK_RS15385		919523	920137	615
NGK_RS05070		920344	922113	1770
NGK_RS05075		922110	922766	657
NGK_RS05080		922961	923986	1026
NGK_RS05085		923993	924358	366
NGK_RS15845		924675	925540	866
NGK_RS05095	purE	925752	926237	486
NGK_RS05100		926285	926998	714
NGK_RS05105		926998	927666	669
NGK_RS05110		927677	927862	186
NGK_RS05115	mutL	928006	929982	1977
NGK_RS05120	dnaX	930077	932200	2124
NGK_RS05125		932281	932616	336
NGK_RS05135	recA	933269	934315	1047
NGK_RS05140	aroD	934515	935279	765
NGK_RS05145	rep	935299	937314	2016
NGK_RS05150	dinB	937384	938442	1059
NGK_RS13035		938541	938750	210
NGK_RS05165		939342	940121	780
NGK_RS05170		940330	941400	1071
NGK_RS15850		941361	941609	249
NGK_RS05180		941629	941892	264
NGK_RS05185		941929	942213	285
NGK_RS05190		942235	942888	654
NGK_RS05195		942943	943155	213
NGK_RS16550		943261	943560	300
NGK_RS16555		943646	943840	195
NGK_RS15865		943837	944163	327
NGK_RS15870		944184	944978	795
NGK_RS15875		945069	945632	564
NGK_RS16370		945672	947859	2188
NGK_RS15390		947971	948300	330
NGK_RS05235		948316	948627	312
NGK_RS16560		948635	948914	280
NGK_RS05240		948999	949612	614
NGK_RS16375		949591	949755	165
NGK_RS16380		949859	949990	132
NGK_RS12230		950074	950457	384
NGK_RS05265		950562	950702	141
NGK_RS16565		950747	951760	1014
NGK_RS05280	pgi	951977	953623	1647
NGK_RS05285	hexR	953849	954697	849
NGK_RS05290		954746	955732	987
NGK_RS05295	pgl	955713	956408	696
NGK_RS05300	zwf	956559	958004	1446
NGK_RS15015		958331	958440	110
NGK_RS05305	edd	958524	960359	1836
NGK_RS05310		960569	961207	639
NGK_RS05315		961396	961581	186
NGK_RS15020		961592	961704	113
NGK_RS05320		961802	962842	1041
NGK_RS05325	mutY	963005	964045	1041
NGK_RS05335		964421	964735	315
NGK_RS16390		964807	966549	1743
NGK_RS16395		966740	972841	6102
NGK_RS13100		973042	973293	252
NGK_RS16400		973288	973486	199
NGK_RS13105		973541	973669	129
NGK_RS05370	ribBA	973882	975219	1338
NGK_RS05375		975382	975498	117
NGK_RS05380		975530	977131	1602
NGK_RS05385		977198	978037	840
NGK_RS05390		978048	978608	561
NGK_RS05395		978601	979803	1203
NGK_RS05400		979853	980083	231
NGK_RS05405		980132	983137	3006
NGK_RS05410		983257	984567	1311
NGK_RS16405		984764	985071	308
NGK_RS05420		985871	986398	528
NGK_RS05425		986516	988120	1605
NGK_RS15915		988433	988645	213
NGK_RS05435		988648	989564	917
NGK_RS14395		989819	991283	1465
NGK_RS05445		991534	991902	369
NGK_RS05450	thrC	991975	993384	1410
NGK_RS05455		993431	994225	795
NGK_RS05460		994413	995189	777
NGK_RS05470		995848	998319	2472
NGK_RS05475	hflX	998316	999494	1179
NGK_RS05480		999500	1000780	1281
NGK_RS05485		1000932	1001657	726
NGK_RS05490	radC	1001730	1002407	678
NGK_RS16225		1002434	1002556	123
NGK_RS05495	gshA	1002530	1003879	1350
NGK_RS05500	leuC	1004131	1005540	1410
NGK_RS05505		1005635	1005889	255
NGK_RS05510	leuD	1005951	1006592	642
NGK_RS05515		1006759	1008030	1272
NGK_RS05520		1008046	1008777	732
NGK_RS05525	leuB	1008811	1009881	1071
NGK_RS05530		1009909	1010562	654
NGK_RS05540		1010868	1011653	786
NGK_RS05545		1011897	1012712	816
NGK_RS05550		1012753	1013622	870
NGK_RS05555		1013658	1014914	1257
NGK_RS15410		1014972	1015112	141
NGK_RS05565		1015260	1015688	429
NGK_RS05570		1015737	1017080	1344
NGK_RS05575		1017085	1017738	654
NGK_RS05580	gatC	1017888	1018178	291
NGK_RS05585	gatA	1018241	1019686	1446
NGK_RS05590		1019683	1020615	933
NGK_RS05595	gatB	1020658	1022088	1431
NGK_RS05600		1022180	1023190	1011
NGK_RS16230		1023171	1023305	135
NGK_RS05605	pdxH	1023320	1023952	633
NGK_RS15415		1024012	1024164	153
NGK_RS05610		1024173	1025222	1050
NGK_RS05615		1025281	1026822	1542
NGK_RS05620	xseA	1027115	1028470	1356
NGK_RS05625	nadE	1028667	1029488	822
NGK_RS05630	dnrN	1029559	1030032	474
NGK_RS05640	trxA	1030330	1030662	333
NGK_RS05645		1030714	1031661	948
NGK_RS05650		1031989	1033377	1389
NGK_RS05655		1033728	1033928	201
NGK_RS05660		1033942	1034496	555
NGK_RS05665		1034581	1035081	501
NGK_RS13145		1035178	1035387	210
NGK_RS05675		1035486	1036679	1194
NGK_RS05680	clpX	1036786	1038030	1245
NGK_RS05685	rbfA	1038213	1038584	372
NGK_RS05690		1038595	1039119	525
NGK_RS05695	truB	1039177	1040097	921
NGK_RS05700		1040315	1040815	501
NGK_RS05705		1041049	1042509	1461
NGK_RS05710		1042499	1045273	2775
NGK_RS05715		1045422	1046594	1173
NGK_RS05720		1046715	1046957	243
NGK_RS05725	iscR	1046944	1047390	447
NGK_RS05730		1047419	1048633	1215
NGK_RS05735		1048618	1048929	312
NGK_RS05740		1049271	1049729	459
NGK_RS05745	iscU	1049742	1050128	387
NGK_RS05750	iscA	1050215	1050535	321
NGK_RS05755		1050495	1050716	222
NGK_RS05760	hscB	1050798	1051298	501
NGK_RS05765	gyrA	1051396	1054146	2751
NGK_RS13150		1054365	1055017	653
NGK_RS05780		1055240	1057246	2007
NGK_RS05785	mltB	1057369	1058460	1092
NGK_RS05795		1058608	1060035	1428
NGK_RS05800	mfd	1060220	1063924	3705
NGK_RS05810		1064150	1064452	303
NGK_RS05815	panD	1064614	1064997	384
NGK_RS05820	kdsA	1065019	1065861	843
NGK_RS05825		1065876	1066316	441
NGK_RS05830	eno	1066363	1067649	1287
NGK_RS05835	ftsB	1067817	1068095	279
NGK_RS05840	yfaE	1068136	1068426	291
NGK_RS05845	nrdB	1068547	1069680	1134
NGK_RS05850	nrdA	1069993	1072272	2280
NGK_RS05855		1072803	1073114	312
NGK_RS15030		1073164	1073313	150
NGK_RS05860		1073377	1074144	768
NGK_RS05865	mutM	1074232	1075059	828
NGK_RS05870		1075112	1075777	666
NGK_RS05875		1075956	1077932	1977
NGK_RS05880		1078000	1078692	693
NGK_RS05885		1079166	1080536	1371
NGK_RS05890	cmk	1080769	1081425	657
NGK_RS05895	rpsA	1081578	1083263	1686
NGK_RS05900		1083274	1083570	297
NGK_RS05905		1083784	1084191	408
NGK_RS05910		1084341	1085451	1111
NGK_RS05915	fghA	1085460	1086287	828
NGK_RS05920	zapE	1086817	1087968	1152
NGK_RS05925	ndk	1088027	1088452	426
NGK_RS05930	rlmN	1088596	1089690	1095
NGK_RS05935	pilW	1089693	1090454	762
NGK_RS05940	ispG	1090470	1091735	1266
NGK_RS05945	clpP	1091789	1092403	615
NGK_RS05950	tig	1092499	1093809	1311
NGK_RS05955		1094034	1094363	330
NGK_RS05960		1094682	1097120	2439
NGK_RS05965		1097342	1098553	1212
NGK_RS05970		1098600	1099082	483
NGK_RS05980	pssA	1099665	1100411	747
NGK_RS05985		1100412	1101218	807
NGK_RS15920		1101696	1101827	132
NGK_RS05995	rplI	1101841	1102293	453
NGK_RS06000	rpsR	1102310	1102540	231
NGK_RS06005	priB	1102547	1102849	303
NGK_RS06010	rpsF	1102850	1103218	369
NGK_RS06015	trxB	1103374	1104324	951
NGK_RS06020		1104463	1106640	2178
NGK_RS06025	uvrC	1106695	1108581	1887
NGK_RS06035		1108698	1110102	1405
NGK_RS06040	trmB	1110224	1110940	717
NGK_RS06050		1111264	1111611	348
NGK_RS06055	cah	1112020	1112778	759
NGK_RS06060	uvrB	1112956	1114983	2028
NGK_RS06065		1115313	1116788	1476
NGK_RS06070		1116915	1118711	1797
NGK_RS06075		1119038	1119598	561
NGK_RS06080		1119600	1120148	549
NGK_RS06085	ruvX	1120141	1120596	456
NGK_RS06090		1120606	1121262	657
NGK_RS06095		1121325	1123037	1713
NGK_RS06100	aceE	1123734	1126397	2664
NGK_RS06105	aceF	1126547	1128109	1563
NGK_RS06110		1128210	1128644	435
NGK_RS06115	lpdA	1128662	1130446	1785
NGK_RS06125		1130870	1132420	1551
NGK_RS13175		1132545	1134789	2245
NGK_RS06145		1134964	1135617	654
NGK_RS06150		1135818	1136378	561
NGK_RS13180		1136442	1136579	138
NGK_RS06155	aspA	1136655	1138052	1398
NGK_RS06160		1138120	1139610	1491
NGK_RS06165		1139881	1140864	984
NGK_RS06170		1141079	1144507	3429
NGK_RS06175		1144715	1145590	876
NGK_RS06180		1145594	1146286	693
NGK_RS06185	ybaK	1146308	1146787	480
NGK_RS06190		1146862	1147224	363
NGK_RS06195		1147259	1148122	864
NGK_RS06200	ttcA	1148214	1149173	960
NGK_RS06205		1149267	1152206	2940
NGK_RS06210		1152296	1154362	2067
NGK_RS06215		1154470	1155027	558
NGK_RS06220		1155092	1156018	927
NGK_RS06225		1156006	1156482	477
NGK_RS06230		1156559	1157071	513
NGK_RS06235		1157139	1158253	1115
NGK_RS06240		1158367	1159464	1098
NGK_RS06245		1159546	1161125	1580
NGK_RS06250		1161133	1161294	162
NGK_RS06255		1161273	1161485	213
NGK_RS06265		1161926	1163091	1166
NGK_RS06270		1163221	1164657	1437
NGK_RS06275	patB	1164668	1165651	984
NGK_RS06280		1165648	1166841	1194
NGK_RS16235		1166913	1167041	129
NGK_RS06290		1167092	1168645	1554
NGK_RS06295		1168734	1170761	2028
NGK_RS06300		1170895	1171548	654
NGK_RS06305	purM	1172545	1173579	1035
NGK_RS06315		1174268	1175257	990
NGK_RS06320		1175599	1176078	480
NGK_RS06325		1176140	1179184	3045
NGK_RS06330		1179214	1179363	150
NGK_RS14415		1179675	1179848	174
NGK_RS06335		1179832	1180173	342
NGK_RS15425		1180157	1180315	159
NGK_RS06345		1180315	1180854	540
NGK_RS16240		1180896	1181021	126
NGK_RS06350		1181061	1181297	237
NGK_RS06355		1181297	1181644	348
NGK_RS15430		1181699	1181851	153
NGK_RS06360		1182012	1182344	333
NGK_RS06365		1182345	1182815	471
NGK_RS06370		1182886	1183191	306
NGK_RS06375		1183303	1187448	4146
NGK_RS06380		1187688	1187966	279
NGK_RS06385		1187994	1188425	432
NGK_RS06390		1188427	1189281	855
NGK_RS06395		1189278	1189877	600
NGK_RS06400		1189877	1190143	267
NGK_RS06405		1190155	1190484	330
NGK_RS06410		1190545	1191318	774
NGK_RS06415		1191344	1191772	429
NGK_RS06420		1191769	1192251	483
NGK_RS06425		1192251	1192781	531
NGK_RS06430		1192784	1193152	369
NGK_RS06435		1193159	1194658	1500
NGK_RS06440		1194699	1195856	1158
NGK_RS06445		1195924	1198071	2148
NGK_RS06450	terL	1198068	1199489	1422
NGK_RS06455		1199551	1200000	450
NGK_RS06460		1200293	1201162	870
NGK_RS06465		1201444	1202604	1161
NGK_RS06470		1202695	1203102	408
NGK_RS06480		1203369	1203749	381
NGK_RS15935		1203740	1204021	282
NGK_RS06490		1204050	1204199	150
NGK_RS06495		1204374	1204868	495
NGK_RS06500		1204882	1205112	231
NGK_RS06505		1205182	1205961	780
NGK_RS06510		1205973	1206872	900
NGK_RS15435		1207069	1207269	201
NGK_RS16410		1207271	1207498	228
NGK_RS12245		1207621	1208307	687
NGK_RS06530		1208347	1209045	699
NGK_RS06535		1209284	1209982	699
NGK_RS06540		1209979	1210797	819
NGK_RS06545		1210967	1211149	183
NGK_RS06550		1211251	1211652	402
NGK_RS06555		1211751	1212512	762
NGK_RS06560		1212733	1212933	201
NGK_RS06565		1212966	1213442	477
NGK_RS06570		1213439	1213726	288
NGK_RS06575		1213867	1214199	333
NGK_RS06580		1214352	1214630	279
NGK_RS06585		1214627	1214788	162
NGK_RS06590		1214857	1215543	687
NGK_RS06595		1215683	1215865	183
NGK_RS06600		1215862	1216353	492
NGK_RS06605		1216405	1216620	216
NGK_RS06610		1216731	1217714	984
NGK_RS15940		1217711	1217941	231
NGK_RS15945		1217913	1218125	213
NGK_RS06625		1218151	1218345	195
NGK_RS06630		1218401	1218485	85
NGK_RS06635		1218636	1219310	675
NGK_RS06640	ribA	1219303	1219896	594
NGK_RS06645		1220064	1220246	183
NGK_RS06650		1220249	1221211	963
NGK_RS06655		1221846	1222205	360
NGK_RS06660		1222326	1223398	1073
NGK_RS06665		1223408	1223698	291
NGK_RS06670		1223677	1225266	1590
NGK_RS06675		1225208	1225525	318
NGK_RS06680		1225653	1225931	279
NGK_RS06685		1225938	1226156	219
NGK_RS06690		1226230	1226427	198
NGK_RS06695		1226432	1226722	291
NGK_RS06700		1226767	1228095	1329
NGK_RS06705		1228766	1229170	405
NGK_RS06710		1229210	1230391	1182
NGK_RS06715		1230493	1232748	2256
NGK_RS06720	nirK	1233122	1234300	1179
NGK_RS06725		1234478	1235233	756
NGK_RS06730		1235476	1235880	405
NGK_RS06745		1236468	1237226	759
NGK_RS16570		1237272	1237367	96
NGK_RS06755		1237427	1237984	558
NGK_RS06760		1238059	1239693	1635
NGK_RS16415		1239756	1240097	342
NGK_RS06770	serC	1240094	1241200	1107
NGK_RS06775	rimP	1241566	1241997	432
NGK_RS06780	nusA	1242025	1243527	1503
NGK_RS06785	infB	1243539	1246370	2832
NGK_RS06790		1246530	1247870	1341
NGK_RS06795		1247944	1249284	1341
NGK_RS06800	trhA	1249427	1250053	627
NGK_RS06805		1250118	1251536	1419
NGK_RS06810		1251863	1252591	729
NGK_RS06815		1252650	1253138	489
NGK_RS06825		1254160	1254624	465
NGK_RS06830	alr	1254846	1255904	1059
NGK_RS06840		1256446	1257801	1356
NGK_RS06845		1257816	1258088	273
NGK_RS06850		1258213	1258950	738
NGK_RS06855	prmB	1259088	1259987	900
NGK_RS15440		1260086	1260283	198
NGK_RS15445		1260319	1260804	486
NGK_RS06870		1260944	1261597	654
NGK_RS06875		1261871	1262197	327
NGK_RS06880		1262548	1262943	396
NGK_RS15950		1263048	1263164	117
NGK_RS06885	rrf	1263200	1263313	114
NGK_RS06890		1263410	1266301	2892
NGK_RS06895		1266649	1266724	76
NGK_RS06900		1266730	1266806	77
NGK_RS06905		1266907	1268447	1541
NGK_RS06915	coaBC	1268974	1270158	1185
NGK_RS06920		1270225	1272381	2157
NGK_RS06925	rpoZ	1272474	1272680	207
NGK_RS06930	gmk	1272738	1273355	618
NGK_RS06935		1273483	1274082	600
NGK_RS06940		1274128	1274916	789
NGK_RS06950	yegQ	1275242	1276597	1356
NGK_RS06955		1276728	1277201	474
NGK_RS15450		1277410	1279783	2374
NGK_RS06965		1279996	1280649	654
NGK_RS06970		1280674	1281303	630
NGK_RS06975		1281614	1282948	1335
NGK_RS06980	pqiB	1282941	1284602	1662
NGK_RS06985		1284602	1285120	519
NGK_RS06990		1285124	1285675	552
NGK_RS06995		1285665	1286306	642
NGK_RS13240		1286299	1286478	180
NGK_RS07000		1286477	1286836	360
NGK_RS07005	gcvP	1286867	1289719	2853
NGK_RS15955		1289827	1290692	866
NGK_RS07020		1291081	1291920	840
NGK_RS07025		1292205	1292280	76
NGK_RS07030		1292345	1293538	1194
NGK_RS07035	trmA	1293558	1294646	1089
NGK_RS07040	aroC	1294793	1295893	1101
NGK_RS07045		1295984	1296409	426
NGK_RS07050	parE	1296483	1298468	1986
NGK_RS07055		1298535	1299059	525
NGK_RS07060	serS	1299225	1300520	1296
NGK_RS07065		1300593	1301591	999
NGK_RS07070	prfA	1301716	1302792	1077
NGK_RS07075		1302882	1303652	771
NGK_RS07080		1303655	1304647	993
NGK_RS07085		1304714	1305397	684
NGK_RS07090	glmM	1305586	1306920	1335
NGK_RS07095	folP	1307050	1307904	855
NGK_RS07100		1308044	1308937	894
NGK_RS07105		1309028	1311129	2102
NGK_RS07110	ubiD	1311193	1312671	1479
NGK_RS07115		1312691	1313206	516
NGK_RS16575		1313213	1313750	538
NGK_RS16425		1313826	1313909	84
NGK_RS13255		1313912	1314655	744
NGK_RS16430		1314855	1315283	429
NGK_RS07135	fabG	1315321	1316050	730
NGK_RS15960		1316044	1317389	1346
NGK_RS07145		1317443	1317518	76
NGK_RS07150		1317587	1318351	765
NGK_RS07155		1318352	1319416	1065
NGK_RS07165		1319650	1320987	1338
NGK_RS15965		1321162	1322174	1013
NGK_RS07180		1322183	1322977	795
NGK_RS07185	gdhA	1323401	1324735	1335
NGK_RS15065		1324830	1324936	107
NGK_RS07195		1324974	1325753	780
NGK_RS07200		1326103	1326309	207
NGK_RS07205		1326309	1326507	199
NGK_RS07210	mtrE	1326708	1328111	1404
NGK_RS07215	mtrD	1328164	1331367	3204
NGK_RS07220	mtrC	1331379	1332617	1239
NGK_RS07230	mtrR	1332867	1333499	633
NGK_RS07235		1333592	1333804	213
NGK_RS07240	mtrF	1334136	1335704	1569
NGK_RS07245	recC	1335774	1338983	3210
NGK_RS07250		1339084	1340493	1410
NGK_RS07255	ccoP	1340837	1342156	1320
NGK_RS07260		1342180	1342350	171
NGK_RS07265	ccoO	1342355	1342966	612
NGK_RS07270	ccoN	1342993	1344426	1434
NGK_RS07275		1344752	1346500	1749
NGK_RS07280		1346565	1346993	429
NGK_RS07285		1347494	1347928	435
NGK_RS07290	exbB	1347931	1348593	663
NGK_RS07295		1348659	1349510	852
NGK_RS07300		1349766	1350404	639
NGK_RS07305		1350476	1351117	642
NGK_RS07310		1351260	1353473	2214
NGK_RS07315		1353537	1353914	378
NGK_RS07320		1353983	1354438	456
NGK_RS07325		1354419	1355048	630
NGK_RS07330		1355197	1355427	231
NGK_RS07335		1355594	1355866	273
NGK_RS15970		1355875	1355964	90
NGK_RS15975	mafB	1356165	1356620	456
NGK_RS07345		1356748	1357167	420
NGK_RS16435		1357164	1357901	738
NGK_RS07355		1358032	1358409	378
NGK_RS07360		1358440	1358838	399
NGK_RS16580		1358844	1359374	531
NGK_RS07365		1359419	1359754	336
NGK_RS07370		1359751	1360482	732
NGK_RS07375		1360617	1361160	544
NGK_RS07380		1361287	1361514	228
NGK_RS07385		1361573	1361896	324
NGK_RS07390		1361886	1362239	354
NGK_RS07395		1362536	1363084	549
NGK_RS07400	mafB	1363074	1364891	1818
NGK_RS07405	mafA	1364895	1365836	942
NGK_RS07410		1365976	1366629	654
NGK_RS07415		1366696	1367277	582
NGK_RS07420		1367407	1369068	1662
NGK_RS07425		1369202	1369696	495
NGK_RS07430		1369693	1370523	831
NGK_RS07435		1370520	1371416	897
NGK_RS13280	nosD	1371474	1372508	1035
NGK_RS16440		1372562	1372705	144
NGK_RS07455	nosZ	1373002	1374969	1968
NGK_RS15455		1375098	1377404	2307
NGK_RS07470	hemA	1377651	1378898	1248
NGK_RS07475	gcvH	1379051	1379437	387
NGK_RS07480		1379489	1380028	540
NGK_RS07490	gcvT	1380175	1381275	1101
NGK_RS07495		1381787	1382269	483
NGK_RS07500		1382316	1382921	606
NGK_RS07505		1382918	1383277	360
NGK_RS07515		1383636	1385057	1422
NGK_RS07520		1385131	1385784	654
NGK_RS07525		1386022	1387365	1344
NGK_RS07530		1387368	1388600	1233
NGK_RS07535		1388593	1389369	777
NGK_RS07540		1389369	1389995	627
NGK_RS07545	nqrE	1389999	1390592	594
NGK_RS07550	nqrF	1390606	1391823	1218
NGK_RS07555		1392340	1393395	1056
NGK_RS07560	nqrM	1393421	1393636	216
NGK_RS07565	grpE	1393760	1394338	579
NGK_RS07570	cysE	1394521	1395339	819
NGK_RS07575	ubiB	1395543	1397054	1512
NGK_RS15990		1397089	1397546	458
NGK_RS15460		1397543	1397689	147
NGK_RS07585	erpA	1397706	1398044	339
NGK_RS07590		1398177	1398863	687
